article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,yes,Direct (more users = more value),Direct network effects (economies of scale through expanding client base - vendors need sizeable pool of clients to achieve economies of scale with single-versioned multi-tenant architecture),high,"Page 2: 'SaaS vendors are hence compelled to steadily improve service quality and price it accordingly in order to retain a sizeable pool of clients and achieve economies of scale' | Page 5-6: 'SaaS vendors tend to target broad markets to gain economy of scale. In SaaS, the deployment of a single version of software serving various clients with diversified requirements eliminates vendors' revenue sources from the provision of software maintenance. The recurring subscription fees from clients substitute vendors' revenue from the traditional up-front payments. To survive and thrive, vendors are supposed to expand clients base continuously in order to leverage on economy of scale'"
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,Direct (more users = more value),Direct (more users = more value),medium,"Page 2: 'Renting can also increase the positive network externality effect, owing to the lower initial costs for customers compared to purchasing. The low costs increase the number of customers, and consequently increase the information available in the market regarding the product. Overall, this decreases customers' search costs'"
190638871,Transition to the Cloud: A Vendor Perspective,yes,Data (more data = better product),Data (more data = better product),medium,"Page 3, Section 2: 'For instance, many of the cloud vendors mentioned above operate around a user community where open innovation is flourishing, suggesting a paradigm shift from treating customers as value exchangers to value co-creators.'"
190638976,Managing a Software Business,yes,Direct (more users = more value),Direct (more users = more value),high,"Page 2, Section 'Your Business Model and Strategy': 'Software, and especially a service built through it, exhibits strong network effects: your offering's value increases with the number of its users. Positioning yourself as a hub in a winner-takes-all field can be remarkably rewarding.'"
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Cross-sided (distinct groups benefit),Cross-sided (distinct groups benefit),high,"Page 13, Section 4.2.4: 'Tise mixes classifieds with social networking elements that connect sustainably-minded users, thus leveraging cross-side and same-side network effects.' | 'Such network effects that postulate sustainable behaviour across multiple actors' | Page 15: 'Gaining access to large customer bases profiting from network effects'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Direct (more users = more value),Direct (more users = more value),high,"Page 3, Section 2.1: 'It is often used by companies that are trying to increase the size of their user base and benefit from network effects' | 'it increases the conversion rate of free users to paid users by enhancing network effects' | 'In the App Store study, enhanced network effects amplify the leader's advantage over followers, increasing the user base and increasing conversion rates' | 'it benefits advertisers by increasing the free user base through enhanced network effects'"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,,Data,high,"Page 5, Adobe's strategic assets: 'Adobe has been able to lock in consumers and outcompete competitors due to high switching costs. To keep clients hooked on their goods, Adobe employs the 'learning curve trap,'' in which some users become certified experts in their programme. Files produced by Adobe products such as Photoshop or Acrobat have become standard in the industry.'"
190653589,Navigating the paradox of global scaling,no,,not reported,high,information not found in text
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,None,None,medium,"Page 1666: 'At the time of our data, App Store offered close to 200,000 game apps, most of which were by small independent developers.'"
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,Direct (more users = more value),Direct (more users = more value),high,Page 4: 'What drives users to pay in freemium is the social prestige associated with using a high-end product. This aspect highlights the fundamental reason why implementing a network within the application is important' and Page 4: 'the presence of asymmetry in network effects plays a significant role in determining the success of freemium applications'
190653772,Current practices and emerging trends of transit apps for fixed-route bus services in the US,yes,,Data,high,"Page 5: 'Many interviewees mentioned if transit agencies had access to people's travel patterns, they would be able to send passengers contextually relevant information' | Page 5: 'Collecting data on riders would also make it possible for transit agencies to provide contextually relevant information'"
190653856,Stuck Inside a Cloud: Do SaaS business models require a rethink of the traditional approach to public market valuation?,no,,not reported,high,information not found in text
190653872,Managing Software-as-a-Service: Pricing and operations,yes,Direct (more users = more value);Cross-sided (distinct groups benefit);Data (more data = better product),"['Direct (more users = more value)', 'Cross-sided (distinct groups benefit)', 'Data (more data = better product)']",high,"Page 4, lines 294-296: 'Feng et al. (2018) show that a high-quality entrant to a SaaS market dominated by an incumbent prefers instant release of the service with high pricing under within-product and cross-product network effects' | Page 5, lines 526-530: 'Apple Music and Spotify allow listeners to learn from the tastes of each other based on social networks (Hagiu & Wright, 2020), which in turn would dynamically impact usage and willingness-to-pay (WTP) for a music streaming subscription' | Page 6, lines 613: 'f(n1) is the value of user-generated data at t2' | Page 12, lines 1155-1157: 'the data collected from subscribers enable Netflix to cater to their tastes and add new shows to leverage on network effects'"
190653882,"Converting free users to paid subscribers in the SaaS context: The impact of marketing touchpoints, message content, and usage",yes,None,None,high,information not found in text
190653942,Optimal distinctiveness across revenue models: Performance effects of differentiation of paid and free products in a mobile app market,no,,not reported,high,information not found in text
190653950,On top of the game? The double-edged sword of incorporating social features into freemium products,yes,Direct (more users = more value),Direct (more users = more value),high,Page 5: 'Products that incorporate social features —and which also manage to attract a large user base —generate network effects' and 'a user's benefits increase with the total number of users of the same product'
190653984,Toward Building Specialized Information Systems as Software Platforms,yes,Cross-sided (distinct groups benefit),Cross-sided (distinct groups benefit),high,"Page 1: 'The purpose of the ecosystem is to create a virtuous circle that benefits all three types of organizations: platform providers, app developers, and users' | Page 1: 'The virtuous circle is created when the app developers build apps that the users want to use. The users use the apps and generate data. The data is used by the platform providers to improve the platform. The improved platform attracts more app developers'"
190653993,Development of service-dominant business model for CAE software industry in Greater China: a case study,no,,not reported,high,information not found in text
190654058,MintM: the start-up transforming businesses real-time,yes,,Data,high,"Page 6: 'simultaneously responding and tracking expressions of end consumers and viewers to generate relevant statistics' | Page 6: 'processed, and analyzed to provide a more personalized and targeted content according to consumer preferences'"
