article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,no,,not reported,high,information not found in text
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,Proprietary,Proprietary,high,"Page 1: 'The traditional way to sell the software license is to sell a perpetual software license for a single user or machine or to sell a license to use the software in a certain number of processors' | Page 4: 'a customer can buy a traditional license, which is like a concern license. By using the concern license the customer has free usage of the software within the organization'"
190638871,Transition to the Cloud: A Vendor Perspective,no,,not reported,high,information not found in text
190638976,Managing a Software Business,yes,Others,Others,medium,"Page 2, Section 'Your Business Model and Strategy': 'The choice of open or proprietary file formats, APIs, and plug-in mechanisms can make the difference between failure and success.' | Page 2: 'You might be able to minimize licensing costs by using or modifying open source components, but so can your competition.'"
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Proprietary,Proprietary,low,"Page 11, Section 4.2.2: 'The farms are equipped with sensors and actuators controlled by proprietary software.'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,no,,not reported,high,information not found in text
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,Proprietary,Proprietary,high,"Page 5, Key activities: 'Adobe has competed as a licence-based corporation for more than two decades. They have built a strong reputation as providers of high-quality professional and consumer design tools for which customers are willing to pay a premium upfront.' | Page 3, Legal: 'Software piracy has become a significant concern in the IT industry'"
190653589,Navigating the paradox of global scaling,no,,not reported,high,information not found in text
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,Proprietary,Proprietary,high,"Page 366: 'In total, the data cover 197,884 mobile game apps, of which 95,990 (48.5%) are paid apps and the remaining are free apps.'"
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",no,,not reported,high,information not found in text
190653772,Current practices and emerging trends of transit apps for fixed-route bus services in the US,no,,not reported,high,information not found in text
190653856,Stuck Inside a Cloud: Do SaaS business models require a rethink of the traditional approach to public market valuation?,no,,not reported,high,information not found in text
