article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,yes,Subscription;Usage/consumption;Transaction;Support;Others,"Subscription (recurring usage fees, monthly/annual subscriptions), Support (helpdesk, setup/training, configuration/integration), Usage/consumption (pay-per-use, resource consumption, transactions), Others (backup services, security services)",high,"Page 1: 'clients are charged through recurring subscription fees on a pay-as-you-go basis' | Page 3: 'Nowadays, a SaaS vendor typically charges his clients who subscribe hosted services a recurring usage fee' | Page 3: 'Monthly subscription fees are the most popular pricing model nowadays' | Page 2: 'The revenue model of software vendors comprises three main sources. First, the upfront usage license fee for the 'perpetual' right to utilize the licensed version of the software...Second, the ongoing maintenance fee...Third, the service fee for one-off or ongoing services such as software installation, customization, integration and user training' | Page 3, Table I: Service-based pricing includes 'Helpdesk...Backup...Security...Setup/Training...Configuration/Integration'"
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,Perpetual license;Subscription;Usage/consumption,"Subscription, Perpetual license, Usage/consumption",high,"Page 3: 'We can sell it as SaaS, using software renting. The second option is to sell it via a traditional software license' | Page 3: 'The revenue model is based on software renting, with a variety of payment options for consumers. These options include (i) a subscription based on named user-based pricing for a particular game for 24 hours, (ii) a monthly subscription for all the games available in the service, and (iii) a subscription for different games packages for a certain time period' | Page 3-4: 'the final revenue is shared with the partners in the value chain... It is based on revenue sharing between three players, the content owner, a portal, and ourselves'"
190638871,Transition to the Cloud: A Vendor Perspective,yes,Perpetual license;Subscription,"Subscription, Perpetual license",high,"Page 2, Section 2: 'the business model of cloud computing implies a different revenue stream: instead of relying on upfront license fee, IT vendors are now collecting periodic subscription fee' | Page 1, Section 2: 'low/minimal entry costs, pay-as-you-go mode' | Page 7, Section 5.2.2: 'the revenue model associated with SaaS means that the upfront perpetual licenses fees would be replaced by long-term flowing of subscription fee.'"
190638976,Managing a Software Business,yes,Subscription,Subscription,medium,"Page 1, Section 'Your Business Model and Strategy': 'Having a service component in your offering lets you secure recurring revenue.'"
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Subscription;Advertising,"Subscription, One-time sales, Commission, Advertising, Freemium",high,"Page 10, Table 2, Revenue model dimension: 'One-time sales (9), Recurring revenue (14), Commission (6), Advertising (1), Freemium / Add-on (8)' | Page 11, Section 4.2.1: 'Value is captured almost exclusively through subscription models, which have proven successful for software BMs.'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Subscription;Transaction;Advertising,"Subscription, Advertising, Transaction",high,"Page 1, Introduction: 'The success mode of the freemium business model lies in a small percentage of freemium users spending money on premium upgrades' | Page 1: 'App Store subscriptions increased from 745 million in 2021 to 900 million in 2022' | Page 3, Section 2.1: 'firms traded off between increasing the number of paying subscribers to gain subscription revenue and increasing the number of basic subscribers to gain advertising sponsorship revenue' | Page 3: 'freemium offerings are often broken down into separately priced features or services in the form of advertising as supplemental revenue'"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,Subscription,Subscription,high,"Page 6, Revenue stream: 'Customers pay a certain amount of money at set times to access the company's product or service in the subscription business model.' | Page 6, Results: 'The recurring revenue from subscriptions represented 74% of Adobe's business.' | Page 6, Results: 'The company added $350 million in recurring revenue in the fourth quarter alone.'"
190653589,Navigating the paradox of global scaling,yes,Subscription,Subscription,high,Page 8: 'customers paying a subscription fee for cloud-based access' | Page 8: 'The recurrent revenue model of SaaS firms provides a steady cash flow' | Page 8: 'cloud and subscription-based pricing model'
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,Perpetual license;Subscription,"Subscription, Perpetual license",high,"Page 72: 'For firms selling digital products, ""freemium,"" providing a basic service level for free but charging consumers for using their ""premium"" version'"
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,Subscription;Usage/consumption;Advertising;Support,"Subscription, Usage/consumption, Advertising, Support",high,"Page 3: 'implementing one-time purchases and subscription-based models are common practices within the premium app market' and Page 3: 'Developers employ various practices to implement freemium strategies, with in-app purchases (IAP) and in-app advertising being the primary approaches used'"
