article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,no,,not reported,high,information not found in text
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,Direct sales;Partners/channels,"Direct sales, Partners/channels",medium,"Page 3-4: 'The network operators operate the platform and deliver games to players' set-top boxes or to PCs through their broadband network' | Page 3-4: 'Because the content is delivered through network operators to game players, the network operator determines the revenue model used' | Page 6: 'customers or delivery channels are the main driving force to the selection of the most appropriate pricing and revenue model in the market'"
190638871,Transition to the Cloud: A Vendor Perspective,yes,Direct sales;Partners/channels,"Direct sales, Partners/channels",high,"Page 5, Section 5.1: 'First, we have micro size business, which out of box standardized products are directly sold to. ERP Co provides product training online and a helpdesk for customer services' | Page 5, Section 5.1: 'The second segment is small and medium size business with less than 1000 employees, where ERP Co works closely with their partners, all what they refer to as value added resellers. Here, all the sales go through ERP Co partners' | Page 3, Section 2: 'the opportunities for IT vendors to sell directly to the customers and hence eliminate middle links (i.e., disintermediation).'"
190638976,Managing a Software Business,yes,Product-led Growth,Product-led Growth,low,"Page 1, Section 'Your Business Model and Strategy': 'The low marginal distribution cost (the cost of adding another user) means that additional sales can often directly translate into pure profit.' | Page 1: 'Software is also easy to distribute on a global scale.'"
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Product-led Growth;Partners/channels;Marketplaces,"Product-led Growth, Marketplaces, Partners/channels",medium,"Page 13: 'Digital sustainable platforms orchestrate multi-sided markets and connect complementors and customers' | 'the BMs serve as intermediaries or matchmakers in a value network' | Page 13: 'Through the network effects in their ecosystems, the enablement of new sustainable BMs scales'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Product-led Growth;Marketplaces,"Product-led Growth, Marketplaces",medium,"Page 3, Section 2.1: 'As more and more digital services are made available to users through various channels, users are more willing to try free products to alleviate the uncertainty associated with digital products.' | Page 5, Section 3.2: 'The Apple App provides an environment where paid and free apps coexist' | '45 app firms with freemium business models were selected in the top 500 free apps charts of the App Store'"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,Direct sales;Partners/channels;Digital marketing,"Direct sales, Digital marketing, Partners/channels",high,"Page 6, Associates: 'In the traditional desktop-based perpetual licence model, Adobe was accustomed to selling its creative products through resellers and retailers such as staples.' | Page 6, Channels: 'Adobe primarily used three channels, resale, direct sales, retail and online' | Page 6, Channels: 'Adobe spends 75% of its marketing budget on digital channels.'"
190653589,Navigating the paradox of global scaling,yes,Direct sales,Direct sales,high,Page 8: 'this implementation tailoring needs to be supported by a sales force' | Page 8: 'the greater emphasis on personal relationships in sales processes when pursuing opportunities with large corporate clients' | Page 9: 'process replication was viewed as being essential to the speed of growth as illustrated in the following quotation about process replication'
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,Marketplaces,Marketplaces,high,"Page 1666: 'At the time of our data, App Store offered close to 200,000 game apps' and Page 1680: 'the availability of a free version may increase a consumer's probability of discovering the paid version'"
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,Product-led Growth;Digital marketing,"Product-led Growth, Digital marketing",medium,Page 5: 'These features may be seen in the trial version with advertisements' and Page 4: 'apps can gain a competitive edge by adopting a digital marketing orientation'
