article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,yes,Tiers/Plans;Pay-as-you-go;Prepaid credits;Custom negotiation,"['Tiers/Plans (function-based configurations, different pricing plans)', 'Prepaid credits (bulk payment with discount)', 'Pay-as-you-go (usage-dependent pricing)', 'Custom negotiation (organization/region based, bundling options)']",high,"Page 2-3, Table I: 'Payment Frequency based. Does pricing refer to multiple frequency of recurring payment (e.g., monthly, annual, etc.)? | Bulk Payment Discount. Does pricing refer to discount depending on payment frequency? | Function based. Does pricing refer to different functionality configurations? | Bundling. Does pricing refer to different bundle options of components? | Organization/Region based. Does pricing refer to different types of organizations or regions?' | Page 3: 'a vendor may offer different pricing plans for an application according to certain product-related criteria (e.g., different combinations of functionality) and charge clients differently according to the pricing plan selected by clients'"
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,Tiers/Plans;Annual contract;Custom negotiation,"['Tiers/Plans', 'Custom negotiation', 'Annual contract']",high,"Page 3: 'Agreements were commonly made for at least three months, but this was negotiated with each customer separately' | Page 3: 'a subscription based on named user-based pricing for a particular game for 24 hours, (ii) a monthly subscription for all the games available in the service, and (iii) a subscription for different games packages for a certain time period' | Page 4: 'The initial rental agreement was for three years, and thereafter a customer could renew it for a fixed period' | Page 4: 'the rental fee depended on the functionalities (version-based price discrimination) and the number of furniture elements included (quantity-based price discrimination)'"
190638871,Transition to the Cloud: A Vendor Perspective,yes,Pay-as-you-go,['Pay-as-you-go'],medium,"Page 1, Section 2: 'The advantages provided by this new way of consuming computing resources, such as low/minimal entry costs, pay-as-you-go mode, and great flexibility and scalability' | Page 2, Section 2: 'On one hand, the pay-as-you-go or subscription-based payment model has liberated organizations from upfront capital investment'"
190638976,Managing a Software Business,no,,not reported,high,information not found in text
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Freemium,['Freemium'],medium,"Page 10, Table 2, Revenue model dimension: 'Freemium / Add-on (8)'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Freemium,['Freemium'],high,"Page 3, Section 2.1: 'Freemium combines ""free"" and ""premium,"" i.e., offering a free basic version of the product and a fully paid version.' | Page 7, Table 3: 'The company offers free modules and specific paid modules to customers' | 'The company offers free modules and optional paid modules to customers'"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,Tiers/Plans;Annual contract,"['Tiers/Plans', 'Annual contract']",high,"Page 5, Channels: 'Subscribers could now pay $49.99/month for a 1-year commitment.' | Page 6, Business model changes: 'monthly subscription business model'"
190653589,Navigating the paradox of global scaling,no,,not reported,high,information not found in text
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,Freemium;Tiers/Plans,"['Freemium', 'Tiers/Plans']",high,"Page 72: 'For firms selling digital products, ""freemium,"" providing a basic service level for free but charging consumers for using their ""premium"" version'"
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,Freemium;Trial;Tiers/Plans,"['Freemium', 'Trial', 'Tiers/Plans']",high,"Page 3: 'offering trial versions of premium apps has been recognized as an effective approach to stimulate sales' and Page 3: 'The phrase ""freemium"" refers to two different versions of a product: a free version with restricted functionality and a complete version that costs money'"
190653772,Current practices and emerging trends of transit apps for fixed-route bus services in the US,yes,Pay-as-you-go;Annual contract,"['Annual contract', 'Pay-as-you-go']",high,"Page 4: 'The ongoing costs could be an annual lump sum (ranging from $100,000 to $500,000) or a charge per transaction'"
190653856,Stuck Inside a Cloud: Do SaaS business models require a rethink of the traditional approach to public market valuation?,yes,,['Subscription'],high,"Page 8: 'subscription business models' | Page 8: 'Subscriptions provide vendors with reliable, steady streams of income over predefined periods'"
