article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,yes,B2B SMB;B2B;Mid-market;Enterprise,"B2B (mixed: B2B SMB, Mid-market, and Enterprise). Small and medium enterprises have been the most aggressive adopters, and large corporations are equally attracted to acquiring software services on demand.",high,"Page 2: 'The second challenge comes from the diversity of SaaS clients, among which small and medium enterprises have been the most aggressive adopters. Likewise, large corporations are equally attracted to the idea of acquiring software services on demand'"
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,B2B SMB;B2B,B2B SMB,high,"Page 3: 'Firm A develops planning and optimization software for telecom operators' | Page 4: 'The software can be used in many different types of organizations, including financial institutions and government organizations' | Page 4: 'It develops 3D modeling software for furniture manufacturers and furniture retailers' | Page 5: 'Low initial costs in software renting enabled to expand the customer base from large-sized customers toward small and medium-sized customers (Firm D)'"
190638871,Transition to the Cloud: A Vendor Perspective,yes,B2B SMB;B2B,B2B SMB,high,"Page 1, Abstract: 'a case study of an ERP vendor for SMB (small and medium-size business)' | Page 5, Section 5.1: 'The first division is called software SMB (small-medium business) which provides ERP, payment, HR, CRM systems to small and medium size customers. The customer segments can be further divided into three categories. First, we have micro size business, which out of box standardized products are directly sold to... The second segment is small and medium size business with less than 1000 employees'"
190638976,Managing a Software Business,yes,Others,Others,medium,"Page 1, Section 'Your Business Model and Strategy': 'Then, consider your market. You can target enterprises or individuals, you can create a specialized product or appeal to the masses, you can cover a broad area or focus on a niche'"
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Others,Others,medium,"Page 12: 'It is exclusively a business-to-business BMs that creates transparency for different stakeholders' (for Sustainability Intelligence archetype) | Page 13: 'digital platforms for their partners, such as restaurants, supermarkets, or hotels, to sell surplus food that would otherwise go to waste to individuals at reduced prices' | Page 5: 'small and medium sized enterprises (SME)' mentioned as market context"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,B2C,B2C,high,"Page 1, Introduction: 'The success mode of the freemium business model lies in a small percentage of freemium users spending money on premium upgrades, and there are significant differences in the amount of money spent by freemium users' | Page 3, Section 2.1: 'firms traded off between increasing the number of paying subscribers to gain subscription revenue and increasing the number of basic subscribers to gain advertising sponsorship revenue' | Page 3: 'users are more willing to try free products'"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,B2B;Enterprise,B2B Enterprise,high,"Page 4, Customers: 'Historically, Adobe's enterprise customers and individual users have paid a perpetual licence price to use Adobe software for decades.' | Page 4, Customers: 'The DMS industry consists of two primary user groups: Amateur and Professionals. The professional category includes animators, editors and video recording/mixing professionals who use software applications to derive their primary income directly.'"
190653589,Navigating the paradox of global scaling,yes,B2B,B2B,high,"Page 7: 'Specifically, we focused on SaaS firms selling to enterprise markets' | Page 8: 'all firms were business-to-business to ensure they shared a general approach to sales'"
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,B2C,B2C,high,Page 360: 'We focus on game apps as it is the most popular category in App Store and purchases tend to be for personal use instead of business purposes.'
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,B2C,B2C,high,"Page 1: 'For mobile app developers, the identification of an optimal monetization strategy is crucial for achieving success' and throughout the article references to 'users' as the primary target"
190653772,Current practices and emerging trends of transit apps for fixed-route bus services in the US,yes,Government,Government,high,Page 1: 'transit agencies and private sector developers' | Page 2: 'transit agencies that provide and manage official branded apps'
190653856,Stuck Inside a Cloud: Do SaaS business models require a rethink of the traditional approach to public market valuation?,yes,B2B,B2B,high,Page 8: 'B2B SaaS Companies' | Page 1: 'companies' | Page 8: 'enterprises'
190653872,Managing Software-as-a-Service: Pricing and operations,yes,B2C;B2B SMB;B2B;Mid-market;Enterprise,"['B2C', 'B2B SMB', 'Mid-market', 'Enterprise']",high,"Page 1, lines 18-19: 'day-to-day activities of businesses and consumers' | Page 3, lines 240-242: 'Benlian and Hess (2011) analyze a survey of 349 German IT executives' | Page 3, lines 219-220: 'Apple Music charged a $9.99/month subscription fee for an individual user and $14.99/month for a family' | Page 2, lines 169-176: 'most customers share the same database and tables (except for some large enterprise clients)'"
190653882,"Converting free users to paid subscribers in the SaaS context: The impact of marketing touchpoints, message content, and usage",yes,B2C,B2C,high,Page 1: 'prospective consumers to explore the service at no charge' | Page 5: 'The dataset is a 10% random sample of all users who created accounts by signing up their emails at the focal firm'
190653942,Optimal distinctiveness across revenue models: Performance effects of differentiation of paid and free products in a mobile app market,yes,B2C,B2C,high,"Page 9: 'Customers are naturally skeptical of products offered at no charge, especially in digital contexts where privacy is an increasingly important concern among consumers' | Page 12: 'mobile apps from the U.S. market of Apple's iOS App Store'"
190653950,On top of the game? The double-edged sword of incorporating social features into freemium products,yes,B2C,B2C,high,Page 1: 'Freemium products require widespread diffusion for their success: Only a small portion of freemium users spends money on premium upgrades'
190653984,Toward Building Specialized Information Systems as Software Platforms,yes,B2B SMB;B2B,B2B SMB,medium,Page 1: 'A specialized information system (SIS) is a type of information system that is designed to support a specific business or organization' | Page 1: 'whenever a business has a new requirement'
190653993,Development of service-dominant business model for CAE software industry in Greater China: a case study,yes,B2B SMB;B2B,B2B SMB,medium,Page 1: 'tool builders are not willing to adopt public cloud services for molding simulation' | Page 2: 'product developers and tool designers' | Page 10: 'industrial users in Greater China'
190654058,MintM: the start-up transforming businesses real-time,yes,B2B,B2B,high,Page 2: 'MintM has a business to business (B2B) based model' | Page 4: 'target brands and retailers' | Page 6: 'brands and retailers saw a use for'
190654085,Business model innovation in mobile apps market: Exploring the new subscription plans with a behavioral reasoning perspective,yes,B2C,B2C,high,Page 1: 'we study the consumer's perception of the new subscription-based business models' | Page 1: 'we employ a PLS-SEM approach to study the data gathered on a sample of 294 mobile apps users in Italy'
190654186,Competition Among Proprietary and Open-Source Software Firms: The Role of Licensing in Strategic Contribution,yes,Enterprise,Enterprise,high,"Page 1: 'enterprise customers (Konrad 2015)' | Page 1: 'In enterprise software markets, firms are increasingly using services-based business models built on open-source software (OSS)' | Page 1: 'In this paper, we focus on enterprise software markets where OSSg2 business models are viable'"
190654465,The Business Case for a Journey Planning and Ticketing App—Comparison between a Simulation Analysis and Real-World Data,yes,B2C,B2C,high,Page 1: 'on-the-go public transport information provision to the public' | Page 2: 'travellers' | Page 2: 'users'
190654531,Hypothesis-driven Adaptation of Business Models based on Product Line Engineering,yes,B2C,B2C,high,Page 1: 'the company is focussing on a customer segment of Private Users (Pri) by providing an app' | Page 6: 'we focused on different customer segments of private users'
190654542,E-business evolution: an analysis of mobile applications' business models,yes,B2C,B2C - The article focuses on mobile apps targeting end users/consumers who download and use apps from the Google Play Store.,high,"Page 5: 'mobile apps are mobile software specifically designed by developers according to the operating system of the device they would like to be run. However, for different operating systems there exist different virtual marketplaces from which users can download apps' | Page 13: 'app users, as emerged from the thematic analysis, have, instead, different concerns about the value sources of the e-business model'"
190654598,A Study on Cloud-Based Software Marketing Strategies Using Cloud Marketplace,yes,B2B SMB;B2B;Mid-market;Enterprise;Government,"B2B SMB, Mid-market, Enterprise, Government",medium,"Page 3: 'Yan et al. classified user-specific items via the analytic hierarchy process (AHP) analysis and studied requirements of specific user groups, e.g., enterprises' | Page 5: 'Users are either lay members or public members. Lay members include private companies and individuals. National institutions (government and public) are separately managed as public members.'"
