article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,yes,Standalone product,"Standalone product (SaaS vendors provide complete hosted software services directly to clients, managing all infrastructure, software, and professional services)",high,"Page 1: 'SaaS is outsourced software, meaning that both technology infrastructure and management - hardware, software and professional services - are contracted out to software vendors' | Page 1: 'software are deployed as hosted services to be accessed by clients from remote locations'"
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,Standalone product,Standalone product,medium,"Page 1: 'software vendors have to take these changes into the consideration and rethink how to offer their software to customers' | Page 2: 'a vendor hosts a single instance on a server that serves multiple customers' | Page 3: 'We can sell it as SaaS, using software renting'"
190638871,Transition to the Cloud: A Vendor Perspective,yes,Standalone product,Standalone product,high,"Page 5, Section 5.1: 'ERP Co can be divided into three segments by three major products/services it offers. The first division is called software SMB (small-medium business) which provides ERP, payment, HR, CRM systems to small and medium size customers.' | Page 5, Section 5.1: 'ERP Co only offers standardized product, which is sold either in an out-of-box fashion to micro business, or through partners who make customizations for specific customer or market.'"
190638976,Managing a Software Business,yes,Two-sided platform,Two-sided platform,medium,"Page 2, Section 'Your Business Model and Strategy': 'Positioning yourself as a hub in a winner-takes-all field can be remarkably rewarding. A related strategy involves offering a platform or an ecosystem in which your business can grow together with others that depend on yours.'"
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Two-sided platform,Two-sided platform,high,"Page 10, Table 2, Role in value creation dimension: 'Integrator (11), Orchestrator (4), Intermediary (6), Service & Support (10)' | Page 13, Section 4.2.4: 'Digital sustainable platforms are purely digital BMs that leverage multi-sided markets' | 'the BMs serve as intermediaries or matchmakers in a value network' | Page 13: 'digital sustainable platforms orchestrate multi-sided markets and connect complementors and customers'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Standalone product,Standalone product,medium,"Page 5, Section 3.2: 'The Apple App provides an environment where paid and free apps coexist, competing with each other for the same user resources and attention' | Page 1: Apps are individual offerings that compete for users"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,Standalone product,Standalone product,high,"Page 3, Competitive landscape: 'Adobe continued to dominate the market for a long time, with 53% share in 2009' | Page 3, Competitive landscape: 'Adobe is firmly positioned within the digital media market. Almost all its products in this segment are market leaders.'"
190653589,Navigating the paradox of global scaling,yes,Standalone product,Standalone product,high,Page 5: 'A business model refers to the system of interdependent organizational activities centered on a focal firm that creates and delivers value to its customers' | Page 8: 'SaaS firms are motivated to establish subsidiaries close to their customers to be able to identify needed innovation more quickly'
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,Standalone product,Standalone product,high,Page 328: 'Each platform offers a wide range of different apps developed by a large number of independently operating developers'
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,Standalone product,Standalone product,high,"Page 1: 'For mobile app developers, the identification of an optimal monetization strategy is crucial for achieving success' and throughout the article, companies are positioned as standalone app developers"
190653772,Current practices and emerging trends of transit apps for fixed-route bus services in the US,yes,Two-sided platform,Two-sided platform,medium,Page 1: 'transit apps emerged as an essential channel to disseminate relevant and timely transit information' | Page 1: 'transit apps as a comprehensive information technology that serves public transportation'
190653856,Stuck Inside a Cloud: Do SaaS business models require a rethink of the traditional approach to public market valuation?,yes,Standalone product,Standalone product,medium,Page 1: 'SaaS companies' | Page 1: '20 publicly traded SaaS companies' | Page 5: 'best of breed applications'
190653872,Managing Software-as-a-Service: Pricing and operations,yes,Standalone product;Two-sided platform;Marketplace;Plugin/Complement,"['Standalone product', 'Two-sided platform', 'Marketplace', 'Plugin/Complement']",high,"Page 15, lines 1497-1503: 'Salesforce.com transformed itself into a platform of enterprise business applications where customers could subscribe to each service to customize their IT solution. The Salesforce platform differentiated from incumbents such as Oracle by encouraging developers to create third-party apps on the platform' | Page 2, lines 85-87: 'integration with platforms, social networks, and user devices' | Page 5, lines 441-442: 'In two-sided networks, the network externality coupling encourages unbundling and subsidizing one side to increase transactions volume'"
190653882,"Converting free users to paid subscribers in the SaaS context: The impact of marketing touchpoints, message content, and usage",yes,Standalone product,Standalone product,high,Page 1: 'SaaS vendors offer the software remotely on cloud-based hardware' | Page 5: 'It offers a collection of more than 20 software applications'
190653942,Optimal distinctiveness across revenue models: Performance effects of differentiation of paid and free products in a mobile app market,yes,Standalone product,Standalone product,medium,Page 12: 'Mobile apps are small software applications that complement the standard functionality of customers' mobile devices' | Page 13: 'app developers'
190653950,On top of the game? The double-edged sword of incorporating social features into freemium products,yes,Standalone product,Standalone product,high,"Page 8: 'The first externally developed PC games on Steam were released in 2005, and the number of games has grown exponentially since'"
190653984,Toward Building Specialized Information Systems as Software Platforms,yes,Two-sided platform,Two-sided platform,high,"Page 1: 'The ecosystem is made up of three types of organizations: platform providers, app developers, and users. Platform providers are the organizations that build and operate the platform'"
190653993,Development of service-dominant business model for CAE software industry in Greater China: a case study,yes,Standalone product,Standalone product,medium,Page 5: 'The main target is to satisfy existing users who require higher computing performance with robust network security' | Page 10: 'molding simulation providers implement different service models'
