article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,yes,Application;Platform;Managed Service,"Application (CRM, collaboration, project management, etc.); Platform (hosted services); Managed Service (supplementary delivery and maintenance services)",high,"Page 1: 'By hosting single-versioned software coupled with supplementary delivery and maintenance services, SaaS vendors can effectively differentiate their product offerings' | Page 1: 'software are deployed as hosted services to be accessed by clients from remote locations' | Page 3, Table II: Application types include 'CRM 8.8, Collaboration 8.5, Project Management 6.2, Marketing 5.3, Accounting/Financial 4.9, Document Management 4.9'"
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,Application;Platform,Application; Platform,high,"Page 1: 'Software as a Service (SaaS), which provides applications on top of PaaS and IaaS' | Page 3: 'Firm A develops planning and optimization software' | Page 3: 'Firm B, established in 2000, provides interactive gaming platforms and games-on-demand services' | Page 4: 'Firm C develops enterprise-SaaS for access rights management' | Page 4: 'It develops 3D modeling software'"
190638871,Transition to the Cloud: A Vendor Perspective,yes,Application;Managed Service,Application; Managed Service,high,"Page 1, Section 1: 'software-as-a service (SaaS) (e.g. Salesforce.com cloud-based customer relationship management software delivered over the Internet)' | Page 4, Section 4.2: 'ERP Co is a leading vendor of enterprise resource planning (ERP), customer relationship management (CRM), and human resource management (HRM) systems' | Page 5, Section 5.1: 'The first division is called software SMB (small-medium business) which provides ERP, payment, HR, CRM systems to small and medium size customers.'"
190638976,Managing a Software Business,yes,Application;Platform;Managed Service,Application; Platform; Managed Service,high,"Page 1, Section 'Your Business Model and Strategy': 'Will that be a pure software product, such as Microsoft Windows; a software–hardware combination (consider the iPhone); or a service, such as eBay?' | Page 2, Section 'Your Business Model and Strategy': 'A related strategy involves offering a platform or an ecosystem in which your business can grow together with others that depend on yours.'"
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Application;Platform;Data;Managed Service,Application; Platform; Data; Managed Service,high,"Page 11, Table 3: 'Sustainable software solutions are software platforms or layers to optimise the impact of ecological sustainability' | 'Sustainable Product-Service Systems are physical products enhanced by a digital complement, such as mobile apps' | 'Sustainability Intelligence BMs combine data analytics with sustainability science' | 'Digital Sustainable platforms create multi-sided markets that facilitate ecological sustainable value co-creation'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Application,Application,high,"Page 1, Abstract: '45 freemium business model apps' | Page 1, Introduction: 'the share of freemium apps on the Apple App Store' | Page 5, Section 3.2: 'Forty-five randomly sampled data points from the free list in the App Store are used as samples, where each app is used as a sample point' | Page 5, Table 1 lists various types of apps including meeting software, e-commerce, video, music, games, navigation"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,Application;Platform,Application; Platform,high,"Page 1, Introduction: 'The main software segments of DMS include desktop publishing, graphic and digital imaging, document readers and viewers, digital video editing and DVD authoring.' | Page 4, Adobe's key business segments: 'Creative Cloud' | Page 5, Key activities: 'Creative Suite of products'"
190653589,Navigating the paradox of global scaling,yes,Application;Platform;Managed Service,Application; Platform; Managed Service,high,"Page 8: 'SaaS firms provide software and service. They run and maintain the software on their own servers, with customers paying a subscription fee for cloud-based access' | Page 8: 'the digital nature of their products and distribution channels'"
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,Application,Application,high,Page 54: 'We use a comprehensive data set on game apps from Apple's App Store'
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,Application,Application,high,Page 1: 'Mobile applications have grown significantly in popularity' and throughout the article references to 'mobile apps' and 'applications'
190653772,Current practices and emerging trends of transit apps for fixed-route bus services in the US,yes,Application;Platform,Application; Platform,high,Page 1: 'smartphone transit apps' | Page 1: 'transit apps have been published by transit agencies and private sector developers' | Page 1: 'transit apps emerged as an essential channel'
190653856,Stuck Inside a Cloud: Do SaaS business models require a rethink of the traditional approach to public market valuation?,yes,Application;Platform,Application; Platform,high,"Page 1: 'Software as a Service' | Page 5: 'best of breed applications and SaaS suites' | Page 5: 'Salesforce, who provide a platform'"
190653872,Managing Software-as-a-Service: Pricing and operations,yes,Application;Platform;API;Managed Service;Infrastructure,Application; Platform; API; Managed Service; Infrastructure,high,"Page 1, lines 16-17: 'Software-as-a-service (SaaS) applications' | Page 1, lines 68-69: 'integration with third-party application programming interface (API)' | Page 9, lines 869-872: 'ServiceNow housed its SaaS on Microsoft Azure' and 'Azure service features computing instances' | Page 15, lines 1497-1499: 'Salesforce.com transformed itself into a platform of enterprise business applications'"
190653882,"Converting free users to paid subscribers in the SaaS context: The impact of marketing touchpoints, message content, and usage",yes,Application,Application,high,"Page 5: 'It offers a collection of more than 20 software applications focused on creating and publishing content in the format of text, graphics, animation, video, etc. The firm's software is mainly used through desktop applications, while tablet apps and browser-based access are also available for a subset of software on limited functions.'"
190653942,Optimal distinctiveness across revenue models: Performance effects of differentiation of paid and free products in a mobile app market,yes,Application;Platform,Application; Platform,high,Page 12: 'Mobile apps are small software applications that complement the standard functionality of customers' mobile devices' | Page 12: 'the iOS App Store is an economically significant example of a digital platform'
190653950,On top of the game? The double-edged sword of incorporating social features into freemium products,yes,Application;Platform,Application; Platform,high,Page 1: 'digital games on Steam' and 'digital platforms'
190653984,Toward Building Specialized Information Systems as Software Platforms,yes,Application;Platform,Platform; Application,high,Page 1: 'A software platform is a kind of software' | Page 1: 'platforms provide an all-in-one solution for businesses' | Page 2: 'using an SIS as a software platform like Salesforce enables us to build custom applications'
190653993,Development of service-dominant business model for CAE software industry in Greater China: a case study,yes,Application;Platform;Managed Service,Application; Platform; Managed Service,high,Page 5: 'the new product could be recognized as a molding simulation system or a private cloud platform' | Page 5: 'This system is a service-oriented product and involves consulting services'
190654058,MintM: the start-up transforming businesses real-time,yes,Application;Platform;Data,Application; Platform; Data,high,Page 2: 'proprietary software to display targeted audio-visual content' | Page 6: 'cloud-based platform to present novel insights to clients' | Page 6: 'simultaneously responding and tracking expressions of end consumers and viewers to generate relevant statistics'
190654085,Business model innovation in mobile apps market: Exploring the new subscription plans with a behavioral reasoning perspective,yes,Application;Platform,Application; Platform,high,Page 1: 'subscription-based business models designed to give users access to a catalogue of smartphone apps' | Page 1: 'more than 2 million apps in the Google's Play store and 1.83 million apps in Apple's AppStore'
190654186,Competition Among Proprietary and Open-Source Software Firms: The Role of Licensing in Strategic Contribution,yes,Application;Platform;Managed Service,Application; Platform; Managed Service,high,"Page 1: 'selling management tools and services that make it easier to run Kafka' | Page 1: 'Apache Kafka, an open-source platform for handling real-time data streams' | Page 1: 'the provision of services for its enterprise Java application server product' | Page 1: 'providing complementary services around their products'"
190654465,The Business Case for a Journey Planning and Ticketing App—Comparison between a Simulation Analysis and Real-World Data,yes,Application;Platform,Application; Platform,high,Page 1: 'mobile phone applications that offer both journey planning and ticketing' | Page 1: 'one user interface' | Page 2: 'Trav.ly app'
190654531,Hypothesis-driven Adaptation of Business Models based on Product Line Engineering,yes,Application;Platform,Application; Platform,high,Page 1: 'developing business models for a mobile application' | Page 6: 'We implemented our solution in a web-based tool called BMDL Feature Modeler'
190654542,E-business evolution: an analysis of mobile applications' business models,yes,Application,Application - The study focuses exclusively on mobile applications as software products.,high,"Page 2: 'The main mobile data technology that is driven this revolution is mobile applications, i.e. softwares accessible by mobile devices that allow access to a series of products/services from anywhere and by anyone' | Page 5: 'mobile apps are mobile software specifically designed by developers'"
