article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,yes,Multiple cases;Secondary data analysis;Literature review,"Multiple cases (content analysis of 353 SaaS vendors) combined with secondary data analysis (market studies, literature review)",high,"Page 3: 'To gain insights into pricing strategies of SaaS vendors, we conducted content analysis to investigate the software licensing practices for SaaS' | Page 3: 'We were eventually left with 353 data points in our final sample' | Page 4: 'we performed cluster analyses on these pricing data in order to gain insights into the SaaS licensing practice' | Page 3: 'The pricing data source is obtained through our examination of each SaaS vendor's website according to the vendor list provided by the New Cloud Computing Showplace website'"
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,Multiple cases,Multiple cases,high,Page 2: 'this study applied a multiple case study methodology similar to the approaches presented by Eisenhardt [25] and Yin [26]' | Page 2: 'The research setting for this study consisted of four software firms that acted as SaaS providers'
190638871,Transition to the Cloud: A Vendor Perspective,yes,Single case study,Single case study,high,"Page 1, Abstract: 'In this paper, we present a case study of an ERP vendor for SMB (small and medium-size business) in making a transition towards a cloud-based business model.' | Page 4, Section 4: 'We conduct a revelatory case study. A revelatory case is a case that gives the researchers the unique opportunity to investigate the phenomenon of interests' | Page 4, Section 4.1: 'Primary source of data has been interviews with six key informants from the top management, including innovation managers and representatives for the new SaaS platform.'"
190638976,Managing a Software Business,yes,Expert opinion,Expert opinion,high,Page 1: 'FROM THE EDITOR' | Page 1: 'Editor in Chief: Diomidis Spinellis Athens University of Economics and Business' | Page 1: 'Managing a Software Business - Diomidis Spinellis'
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Multiple cases,Multiple cases,high,"Page 1, Abstract: 'we examined 31 start-ups to develop a taxonomy' | Page 8, Section 3.4: 'we performed a qualitative cross-case analysis (Miles et al., 2020) to identify archetypes of digital sustainable BMs' | Page 9, Section 3.4: 'We performed a variable-based cross-case analysis (Miles et al., 2020)' | Page 7, Section 3.2: 'We collected our case sample of start-ups from Crunchbase'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Multiple cases,Multiple cases,high,"Page 1, Abstract: 'data from 45 freemium business model apps' | Page 5, Section 3.2: 'Forty-five randomly sampled data points from the free list in the App Store are used as samples, where each app is used as a sample point, and 45 sample cases are finally determined' | 'The description of each case is about 35 pages long (300,000–500,000 words), thus providing qualitative data about freemium business models' | Page 2, Section 1: 'fuzzy set qualitative comparative analysis (fsQCA) approach was used to test the conceptual model with data from 45 freemium business model apps'"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,Single case study,Single case study,high,"Page 1, Title: 'Teaching Case' | Page 1, Abstract: 'Using Adobe as an exemplar, this case highlights the evolution of the DMS industry' | Page 8, Author's note: 'This case was prepared by Prof. Krishna, Jitendra, Rajesh, and Sagnika from published sources. This case is developed solely for the purpose of class-discussion.'"
190653589,Navigating the paradox of global scaling,yes,Multiple cases,Multiple cases,high,"Page 6: 'we adopted a multiple case study research design' | Page 7: 'Our sample consists of eight firms' | Page 6: 'A multiple case study research design permits a replication logic, where individual cases serve as replications, contrasts, or extensions to the emerging theory'"
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,Multiple cases,Multiple cases,high,Page 127: 'We use daily data on individual game apps from App Store. We focus the analysis on apps that have both a paid version and a free counterpart and construct a group of control apps for each freemium app.'
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,Literature review,Literature review,high,"Page 2: 'To acquire comprehensive knowledge for this study, the authors employed the Systematic Literature Review (SLR) methodology'"
